strategy,timeframe,period,total_return_pct,annualised_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_pct,max_dd_duration_days,profit_factor,win_rate_pct,total_trades,avg_win_pct,avg_loss_pct,avg_trade_duration_min,expected_value,recovery_factor,composite_score,passes_minimum_bar,is_benchmark
micro::tp_2x,tick,single-pass OOS,-1.2613274107535835,-26.572751583212593,-16.1204575154352,-16.120457515435195,-20.476725957500854,1.2977050939864094,3,0.03641838086037179,21.73913043478261,23,0.08727662350318438,-0.7943531043010129,125.84666304347829,-5.484032220667612,-0.9719676809458476,-9.682400726687398,False,False
micro::vol_floor_1.5,tick,single-pass OOS,-1.397661082089362,-29.000447776220074,-18.29444583639469,-18.294445836394686,-20.695966056602963,1.401260888083434,12,0.06066898600072811,12.0,25,0.20918499900004411,-0.8010627394000446,131.37141666666665,-5.590644328357386,-0.9974310237125111,-10.47708200755855,False,False
micro::edge_gate,tick,single-pass OOS,-1.397661082089362,-29.000447776220074,-18.29444583639469,-18.294445836394686,-20.695966056602963,1.401260888083434,12,0.06066898600072811,12.0,25,0.20918499900004411,-0.8010627394000446,131.37141666666665,-5.590644328357386,-0.9974310237125111,-10.47708200755855,False,False
micro::baseline,tick,single-pass OOS,-1.4295103281575028,-29.556394793659425,-14.913484177099322,-14.458269356841082,-20.258701987259826,1.4589481010306917,12,0.06696513246522706,20.833333333333336,24,0.1477075937811129,-0.7354497429930402,128.50936041666668,-5.956293033989387,-0.9798226044830571,-9.206718576320421,False,False
micro::gated,tick,single-pass OOS,-1.3776460514483189,-28.64892369317498,-15.152003705572536,-14.731925151265411,-20.36027124722449,1.4070993134278797,12,0.06931702514280455,21.73913043478261,23,0.1477075937811129,-0.7353284594638515,134.09627753623187,-5.989765441079599,-0.9790681000989128,-9.311926290109586,False,False
micro::tp_4x,tick,single-pass OOS,-1.9174424308116431,-37.5690383075225,-14.102363607978837,-14.102363607978841,-19.298491197004243,1.9467344842665442,12,0.09526557455170745,17.24137931034483,29,0.2634612186187049,-0.6621312604626152,106.41995344827586,-6.611870451074729,-0.9849532364625794,-8.713709108555515,False,False
micro::vol_floor_3.0,tick,single-pass OOS,-0.46345026001248696,-10.68806263706037,-11.388808301025072,-10.99429790280827,-19.185418733073796,0.5570930082769155,12,0.14749399080843686,28.57142857142857,7,0.5234955426084235,-1.4268321617091082,534.4590880952381,-6.620718000178619,-0.831908232784926,-999.0,False,False
